East Germany, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      ASFR
1958   47     1911    0.00042
1958   47     1910    0.00027
1958   48     1910    0.00021
1958   48     1909    0.00013
1958   49     1909    0.00011
1958   49     1908    0.00007
1958   50     1908    0.00005
1958   50     1907    0.00003
1958   51     1907    0.00003
1958   51     1906    0.00002
1958   52     1906    0.00001
1958   52     1905    0.00001
1958   53     1905    0.00001
1958   53     1904    0.00000
1958   54     1904    0.00000
1958   54     1903    0.00000
1958   55+       .    0.00000
1959   12-       .    0.00000
1959   13     1946    0.00000
1959   13     1945    0.00000
1959   14     1945    0.00000
1959   14     1944    0.00017
1959   15     1944    0.00118
1959   15     1943    0.00279
1959   16     1943    0.00394
1959   16     1942    0.01307
1959   17     1942    0.02084
1959   17     1941    0.04222
1959   18     1941    0.05672
1959   18     1940    0.09185
1959   19     1940    0.10951
1959   19     1939    0.13575
1959   20     1939    0.14674
1959   20     1938    0.16270
1959   21     1938    0.16850
1959   21     1937    0.17728
1959   22     1937    0.17874
1959   22     1936    0.17630
1959   23     1936    0.17527
1959   23     1935    0.17434
1959   24     1935    0.17261
1959   24     1934    0.16766
1959   25     1934    0.16460
1959   25     1933    0.15767
1959   26     1933    0.15372
1959   26     1932    0.14503
1959   27     1932    0.14076
1959   27     1931    0.13290
1959   28     1931    0.12758
1959   28     1930    0.11452
1959   29     1930    0.10954
1959   29     1929    0.10153
1959   30     1929    0.09770
1959   30     1928    0.09069
1959   31     1928    0.08700
1959   31     1927    0.07937
1959   32     1927    0.07593
1959   32     1926    0.06954
1959   33     1926    0.06640
1959   33     1925    0.06015
1959   34     1925    0.05746
1959   34     1924    0.05259
1959   35     1924    0.05033
1959   35     1923    0.04619
1959   36     1923    0.04385
1959   36     1922    0.03872
1959   37     1922    0.03663
1959   37     1921    0.03308
1959   38     1921    0.03101
1959   38     1920    0.02646
1959   39     1920    0.02468
1959   39     1919    0.02200
1959   40     1919    0.01965
1959   40     1918    0.01411
1959   41     1918    0.01268
1959   41     1917    0.01109
1959   42     1917    0.00988
1959   42     1916    0.00737
1959   43     1916    0.00625
1959   43     1915    0.00429
1959   44     1915    0.00359
1959   44     1914    0.00257
1959   45     1914    0.00198
1959   45     1913    0.00102
1959   46     1913    0.00079
1959   46     1912    0.00052
1959   47     1912    0.00042
1959   47     1911    0.00027
1959   48     1911    0.00021
1959   48     1910    0.00013
1959   49     1910    0.00011
1959   49     1909    0.00007
1959   50     1909    0.00005
1959   50     1908    0.00003
1959   51     1908    0.00003
1959   51     1907    0.00002
1959   52     1907    0.00001
1959   52     1906    0.00001
1959   53     1906    0.00001
1959   53     1905    0.00000
1959   54     1905    0.00000
1959   54     1904    0.00000
1959   55+       .    0.00000
1960   12-       .    0.00000
1960   13     1947    0.00000
1960   13     1946    0.00000
1960   14     1946    0.00000
1960   14     1945    0.00018
1960   15     1945    0.00126
1960   15     1944    0.00330
1960   16     1944    0.00477
1960   16     1943    0.01494
1960   17     1943    0.02333
1960   17     1942    0.04712
1960   18     1942    0.06268
1960   18     1941    0.09708
1960   19     1941    0.11402
1960   19     1940    0.13995
1960   20     1940    0.15037
1960   20     1939    0.16482
1960   21     1939    0.16917
1960   21     1938    0.17232
1960   22     1938    0.17379
1960   22     1937    0.17867
1960   23     1937    0.17803
1960   23     1936    0.17147
1960   24     1936    0.16865
1960   24     1935    0.16386
1960   25     1935    0.16061
1960   25     1934    0.15281
1960   26     1934    0.14938
1960   26     1933    0.14389
1960   27     1933    0.13953
1960   27     1932    0.12808
1960   28     1932    0.12350
1960   28     1931    0.11608
1960   29     1931    0.11159
1960   29     1930    0.10162
1960   30     1930    0.09705
1960   30     1929    0.08808
1960   31     1929    0.08462
1960   31     1928    0.07961
1960   32     1928    0.07613
1960   32     1927    0.06772
1960   33     1927    0.06462
1960   33     1926    0.05996
1960   34     1926    0.05713
1960   34     1925    0.05070
1960   35     1925    0.04843
1960   35     1924    0.04512
1960   36     1924    0.04316
1960   36     1923    0.03908
1960   37     1923    0.03679
1960   37     1922    0.03188
1960   38     1922    0.02965
1960   38     1921    0.02547
1960   39     1921    0.02351
1960   39     1920    0.01967
1960   40     1920    0.01826
1960   40     1919    0.01616
1960   41     1919    0.01448
1960   41     1918    0.01071
1960   42     1918    0.00933
1960   42     1917    0.00712
1960   43     1917    0.00603
1960   43     1916    0.00412
1960   44     1916    0.00338
1960   44     1915    0.00224
1960   45     1915    0.00172
1960   45     1914    0.00091
1960   46     1914    0.00071
1960   46     1913    0.00047
1960   47     1913    0.00038
1960   47     1912    0.00024
1960   48     1912    0.00019
1960   48     1911    0.00012
1960   49     1911    0.00010
1960   49     1910    0.00006
1960   50     1910    0.00005
1960   50     1909    0.00003
1960   51     1909    0.00003
1960   51     1908    0.00002
1960   52     1908    0.00001
1960   52     1907    0.00001
1960   53     1907    0.00001
1960   53     1906    0.00000
1960   54     1906    0.00000
1960   54     1905    0.00000
1960   55+       .    0.00000
1961   12-       .    0.00000
1961   13     1948    0.00000
1961   13     1947    0.00000
1961   14     1947    0.00000
1961   14     1946    0.00028
1961   15     1946    0.00190
1961   15     1945    0.00431
1961   16     1945    0.00600
1961   16     1944    0.01740
1961   17     1944    0.02635
1961   17     1943    0.05130
1961   18     1943    0.06736
1961   18     1942    0.10291
1961   19     1942    0.12066
1961   19     1941    0.14941
1961   20     1941    0.16090
1961   20     1940    0.17582
1961   21     1940    0.18037
1961   21     1939    0.18403
1961   22     1939    0.18470
1961   22     1938    0.18507
1961   23     1938    0.18390
1961   23     1937    0.18028
1961   24     1937    0.17690
1961   24     1936    0.16713
1961   25     1936    0.16350
1961   25     1935    0.15917
1961   26     1935    0.15459
1961   26     1934    0.14154
1961   27     1934    0.13652
1961   27     1933    0.12836
1961   28     1933    0.12431
1961   28     1932    0.11671
1961   29     1932    0.11266
1961   29     1931    0.10450
1961   30     1931    0.09995
1961   30     1930    0.08992
1961   31     1930    0.08587
1961   31     1929    0.07910
1961   32     1929    0.07564
1961   32     1928    0.06871
1961   33     1928    0.06555
1961   33     1927    0.05945
1961   34     1927    0.05697
1961   34     1926    0.05306
1961   35     1926    0.05036
1961   35     1925    0.04384
1961   36     1925    0.04159
1961   36     1924    0.03835
1961   37     1924    0.03633
1961   37     1923    0.03182
1961   38     1923    0.02989
1961   38     1922    0.02650
1961   39     1922    0.02445
1961   39     1921    0.02006
1961   40     1921    0.01819
1961   40     1920    0.01476
1961   41     1920    0.01338
1961   41     1919    0.01104
1961   42     1919    0.00981
1961   42     1918    0.00758
1961   43     1918    0.00621
1961   43     1917    0.00366
1961   44     1917    0.00302
1961   44     1916    0.00227
1961   45     1916    0.00172
1961   45     1915    0.00083
1961   46     1915    0.00063
1961   46     1914    0.00041
1961   47     1914    0.00033
1961   47     1913    0.00021
1961   48     1913    0.00016
1961   48     1912    0.00010
1961   49     1912    0.00008
1961   49     1911    0.00005
1961   50     1911    0.00004
1961   50     1910    0.00003
1961   51     1910    0.00002
1961   51     1909    0.00002
1961   52     1909    0.00001
1961   52     1908    0.00001
1961   53     1908    0.00001
1961   53     1907    0.00000
1961   54     1907    0.00000
1961   54     1906    0.00000
1961   55+       .    0.00000
1962   12-       .    0.00000
1962   13     1949    0.00000
1962   13     1948    0.00000
1962   14     1948    0.00000
1962   14     1947    0.00024
1962   15     1947    0.00167
1962   15     1946    0.00455
1962   16     1946    0.00644
1962   16     1945    0.01791
1962   17     1945    0.02711
1962   17     1944    0.05549
1962   18     1944    0.07336
1962   18     1943    0.10746
1962   19     1943    0.12408
1962   19     1942    0.15111
1962   20     1942    0.16193
1962   20     1941    0.17751
1962   21     1941    0.18244
1962   21     1940    0.18749
1962   22     1940    0.18814
1962   22     1939    0.18691
1962   23     1939    0.18496
1962   23     1938    0.17906
1962   24     1938    0.17614
1962   24     1937    0.17124
1962   25     1937    0.16718
1962   25     1936    0.15696
1962   26     1936    0.15137
1962   26     1935    0.13889
1962   27     1935    0.13395
1962   27     1934    0.12622
1962   28     1934    0.12197
1962   28     1933    0.11297
1962   29     1933    0.10925
1962   29     1932    0.10338
1962   30     1932    0.09933
1962   30     1931    0.08970
1962   31     1931    0.08547
1962   31     1930    0.07747
1962   32     1930    0.07402
1962   32     1929    0.06809
1962   33     1929    0.06490
1962   33     1928    0.05823
1962   34     1928    0.05536
1962   34     1927    0.05020
1962   35     1927    0.04778
1962   35     1926    0.04324
1962   36     1926    0.04100
1962   36     1925    0.03653
1962   37     1925    0.03452
1962   37     1924    0.03071
1962   38     1924    0.02900
1962   38     1923    0.02600
1962   39     1923    0.02402
1962   39     1922    0.01965
1962   40     1922    0.01779
1962   40     1921    0.01445
1962   41     1921    0.01297
