Germany, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 04/02/2019
Year    Age        Exposure
1963     18       426714.17
1963     19       500868.17
1963     20       501230.33
1963     21       550458.00
1963     22       627505.17
1963     23       646104.50
1963     24       623767.50
1963     25       587111.50
1963     26       570371.33
1963     27       567193.33
1963     28       548745.50
1963     29       485649.50
1963     30       440926.00
1963     31       453721.67
1963     32       482355.83
1963     33       499172.00
1963     34       501543.00
1963     35       500224.67
1963     36       505262.50
1963     37       529196.83
1963     38       534428.50
1963     39       529866.17
1963     40       548287.00
1963     41       583644.83
1963     42       609505.17
1963     43       542600.50
1963     44       391048.00
1963     45       306060.83
1963     46       317305.67
1963     47       392629.33
1963     48       514495.50
1963     49       584966.33
1963     50       598678.00
1963     51       592849.83
1963     52       591470.50
1963     53       609870.33
1963     54       613356.33
1963     55       601951.50
1964     12       508026.61
1964     13       505440.08
1964     14       503815.49
1964     15       483220.69
1964     16       446135.63
1964     17       436322.93
1964     18       365749.45
1964     19       428390.67
1964     20       503111.33
1964     21       502823.50
1964     22       551149.67
1964     23       628965.50
1964     24       646495.00
1964     25       624214.50
1964     26       586944.00
1964     27       570835.00
1964     28       566553.00
1964     29       547877.17
1964     30       484541.00
1964     31       440166.83
1964     32       453010.67
1964     33       482197.83
1964     34       498108.67
1964     35       501245.50
1964     36       499870.67
1964     37       504446.33
1964     38       528418.00
1964     39       532379.83
1964     40       528852.00
1964     41       546828.00
1964     42       582151.50
1964     43       608245.50
1964     44       540200.33
1964     45       388698.67
1964     46       303771.17
1964     47       315539.67
1964     48       390663.66
1964     49       511941.83
1964     50       582579.17
1964     51       596064.17
1964     52       589707.67
1964     53       588209.67
1964     54       605770.33
1964     55       608805.83
1965     12       507499.63
1965     13       507259.22
1965     14       505742.94
1965     15       504148.68
1965     16       483532.25
1965     17       447312.30
1965     18       439512.41
1965     19       368551.83
1965     20       431566.83
1965     21       505405.33
1965     22       504418.33
1965     23       553258.17
1965     24       630007.00
1965     25       647597.67
1965     26       624422.33
1965     27       587826.83
1965     28       570533.50
1965     29       566070.50
1965     30       547101.67
1965     31       484132.17
1965     32       439811.00
1965     33       453308.83
1965     34       481539.00
1965     35       498186.17
