West Germany, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 04/02/2019
Year   Age   Cohort      ASFR
1958   47     1911    0.00059
1958   47     1910    0.00035
1958   48     1910    0.00025
1958   48     1909    0.00011
1958   49     1909    0.00008
1958   49     1908    0.00004
1958   50     1908    0.00003
1958   50     1907    0.00002
1958   51     1907    0.00002
1958   51     1906    0.00001
1958   52     1906    0.00001
1958   52     1905    0.00001
1958   53     1905    0.00001
1958   53     1904    0.00000
1958   54     1904    0.00000
1958   54     1903    0.00000
1958   55+       .    0.00000
1959   12-       .    0.00000
1959   13     1946    0.00000
1959   13     1945    0.00005
1959   14     1945    0.00029
1959   14     1944    0.00055
1959   15     1944    0.00073
1959   15     1943    0.00224
1959   16     1943    0.00366
1959   16     1942    0.00976
1959   17     1942    0.01466
1959   17     1941    0.02664
1959   18     1941    0.03433
1959   18     1940    0.05212
1959   19     1940    0.06160
1959   19     1939    0.07947
1959   20     1939    0.08830
1959   20     1938    0.10485
1959   21     1938    0.11302
1959   21     1937    0.12987
1959   22     1937    0.13686
1959   22     1936    0.14728
1959   23     1936    0.15194
1959   23     1935    0.16023
1959   24     1935    0.16301
1959   24     1934    0.16584
1959   25     1934    0.16660
1959   25     1933    0.16719
1959   26     1933    0.16583
1959   26     1932    0.15991
1959   27     1932    0.15708
1959   27     1931    0.15163
1959   28     1931    0.14788
1959   28     1930    0.13864
1959   29     1930    0.13442
1959   29     1929    0.12637
1959   30     1929    0.12246
1959   30     1928    0.11494
1959   31     1928    0.11113
1959   31     1927    0.10353
1959   32     1927    0.09961
1959   32     1926    0.09158
1959   33     1926    0.08766
1959   33     1925    0.07965
1959   34     1925    0.07646
1959   34     1924    0.07122
1959   35     1924    0.06849
1959   35     1923    0.06306
1959   36     1923    0.06006
1959   36     1922    0.05362
1959   37     1922    0.05059
1959   37     1921    0.04485
1959   38     1921    0.04168
1959   38     1920    0.03491
1959   39     1920    0.03236
1959   39     1919    0.02823
1959   40     1919    0.02602
1959   40     1918    0.02171
1959   41     1918    0.01945
1959   41     1917    0.01496
1959   42     1917    0.01320
1959   42     1916    0.01035
1959   43     1916    0.00882
1959   43     1915    0.00597
1959   44     1915    0.00503
1959   44     1914    0.00364
1959   45     1914    0.00296
1959   45     1913    0.00184
1959   46     1913    0.00139
1959   46     1912    0.00074
1959   47     1912    0.00057
1959   47     1911    0.00035
1959   48     1911    0.00027
1959   48     1910    0.00017
1959   49     1910    0.00011
1959   49     1909    0.00003
1959   50     1909    0.00002
1959   50     1908    0.00002
1959   51     1908    0.00001
1959   51     1907    0.00001
1959   52     1907    0.00001
1959   52     1906    0.00000
1959   53     1906    0.00000
1959   53     1905    0.00000
1959   54     1905    0.00000
1959   54     1904    0.00000
1959   55+       .    0.00000
1960   12-       .    0.00001
1960   13     1947    0.00006
1960   13     1946    0.00015
1960   14     1946    0.00021
1960   14     1945    0.00060
1960   15     1945    0.00099
1960   15     1944    0.00297
1960   16     1944    0.00484
1960   16     1943    0.01134
1960   17     1943    0.01626
1960   17     1942    0.02841
1960   18     1942    0.03605
1960   18     1941    0.05381
1960   19     1941    0.06332
1960   19     1940    0.08174
1960   20     1940    0.09052
1960   20     1939    0.10553
1960   21     1939    0.11296
1960   21     1938    0.12809
1960   22     1938    0.13493
1960   22     1937    0.14766
1960   23     1937    0.15261
1960   23     1936    0.15914
1960   24     1936    0.16205
1960   24     1935    0.16748
1960   25     1935    0.16828
1960   25     1934    0.16614
1960   26     1934    0.16471
1960   26     1933    0.16111
1960   27     1933    0.15830
1960   27     1932    0.15074
1960   28     1932    0.14732
1960   28     1931    0.14137
1960   29     1931    0.13711
1960   29     1930    0.12624
1960   30     1930    0.12218
1960   30     1929    0.11627
1960   31     1929    0.11232
1960   31     1928    0.10309
1960   32     1928    0.09891
1960   32     1927    0.09098
1960   33     1927    0.08718
1960   33     1926    0.07995
1960   34     1926    0.07630
1960   34     1925    0.06869
1960   35     1925    0.06581
1960   35     1924    0.06139
1960   36     1924    0.05872
1960   36     1923    0.05289
1960   37     1923    0.04997
1960   37     1922    0.04409
1960   38     1922    0.04124
1960   38     1921    0.03582
1960   39     1921    0.03287
1960   39     1920    0.02665
1960   40     1920    0.02455
1960   40     1919    0.02161
1960   41     1919    0.01947
1960   41     1918    0.01482
1960   42     1918    0.01296
1960   42     1917    0.00979
1960   43     1917    0.00846
1960   43     1916    0.00625
1960   44     1916    0.00517
1960   44     1915    0.00328
1960   45     1915    0.00267
1960   45     1914    0.00181
1960   46     1914    0.00140
1960   46     1913    0.00077
1960   47     1913    0.00058
1960   47     1912    0.00034
1960   48     1912    0.00023
1960   48     1911    0.00010
1960   49     1911    0.00007
1960   49     1910    0.00003
1960   50     1910    0.00002
1960   50     1909    0.00001
1960   51     1909    0.00001
1960   51     1908    0.00001
1960   52     1908    0.00001
1960   52     1907    0.00001
1960   53     1907    0.00000
1960   53     1906    0.00000
1960   54     1906    0.00000
1960   54     1905    0.00000
1960   55+       .    0.00000
1961   12-       .    0.00001
1961   13     1948    0.00005
1961   13     1947    0.00016
1961   14     1947    0.00024
1961   14     1946    0.00067
1961   15     1946    0.00110
1961   15     1945    0.00375
1961   16     1945    0.00630
1961   16     1944    0.01397
1961   17     1944    0.01951
1961   17     1943    0.03274
1961   18     1943    0.04067
1961   18     1942    0.05833
1961   19     1942    0.06780
1961   19     1941    0.08721
1961   20     1941    0.09665
1961   20     1940    0.11388
1961   21     1940    0.12182
1961   21     1939    0.13578
1961   22     1939    0.14212
1961   22     1938    0.15367
1961   23     1938    0.15827
1961   23     1937    0.16516
1961   24     1937    0.16751
1961   24     1936    0.16991
1961   25     1936    0.17043
1961   25     1935    0.17022
1961   26     1935    0.16921
1961   26     1934    0.16561
1961   27     1934    0.16314
1961   27     1933    0.15711
1961   28     1933    0.15331
1961   28     1932    0.14424
1961   29     1932    0.13985
1961   29     1931    0.13138
1961   30     1931    0.12658
1961   30     1930    0.11592
1961   31     1930    0.11158
1961   31     1929    0.10441
1961   32     1929    0.10034
1961   32     1928    0.09148
1961   33     1928    0.08771
1961   33     1927    0.08115
1961   34     1927    0.07759
1961   34     1926    0.07005
1961   35     1926    0.06673
1961   35     1925    0.06053
1961   36     1925    0.05773
1961   36     1924    0.05258
1961   37     1924    0.04985
1961   37     1923    0.04421
1961   38     1923    0.04148
1961   38     1922    0.03618
1961   39     1922    0.03344
1961   39     1921    0.02798
1961   40     1921    0.02544
1961   40     1920    0.02066
1961   41     1920    0.01859
1961   41     1919    0.01497
1961   42     1919    0.01316
1961   42     1918    0.00983
1961   43     1918    0.00834
1961   43     1917    0.00574
1961   44     1917    0.00485
1961   44     1916    0.00352
1961   45     1916    0.00281
1961   45     1915    0.00161
1961   46     1915    0.00123
1961   46     1914    0.00072
1961   47     1914    0.00054
1961   47     1913    0.00030
1961   48     1913    0.00022
1961   48     1912    0.00012
1961   49     1912    0.00008
1961   49     1911    0.00003
1961   50     1911    0.00003
1961   50     1910    0.00002
1961   51     1910    0.00002
1961   51     1909    0.00001
1961   52     1909    0.00001
1961   52     1908    0.00001
1961   53     1908    0.00001
1961   53     1907    0.00000
1961   54     1907    0.00000
1961   54     1906    0.00000
1961   55+       .    0.00000
1962   12-       .    0.00000
1962   13     1949    0.00003
1962   13     1948    0.00013
1962   14     1948    0.00022
1962   14     1947    0.00073
