East Germany, Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 04/02/2019
Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
1944    15     0.000     0.000     0.000     0.000     0.000     0.000
1944    16     0.002     0.002     0.000     0.000     0.000     0.000
1944    17     0.013     0.013     0.000     0.000     0.000     0.000
1944    18     0.054     0.052     0.002     0.000     0.000     0.000
1944    19     0.148     0.136     0.011     0.001     0.000     0.000
1944    20     0.299     0.258     0.038     0.003     0.000     0.000
1944    21     0.484     0.389     0.083     0.011     0.001     0.000
1944    22     0.677     0.505     0.143     0.025     0.003     0.000
1944    23     0.864     0.601     0.209     0.045     0.008     0.001
1944    24     1.041     0.678     0.275     0.070     0.015     0.003
1944    25     1.201     0.739     0.337     0.096     0.023     0.005
1944    26     1.341     0.786     0.393     0.121     0.031     0.008
1944    27     1.460     0.823     0.443     0.143     0.039     0.012
1944    28     1.552     0.848     0.483     0.160     0.045     0.015
1944    29     1.619     0.866     0.514     0.171     0.049     0.018
1944    30     1.669     0.879     0.539     0.179     0.052     0.020
1944    31     1.710     0.889     0.559     0.185     0.054     0.022
1944    32     1.743     0.896     0.576     0.191     0.056     0.024
1944    33     1.773     0.901     0.591     0.197     0.059     0.026
1944    34     1.800     0.905     0.603     0.203     0.061     0.028
1944    35     1.820     0.908     0.611     0.208     0.063     0.030
1944    36     1.836     0.910     0.617     0.212     0.065     0.032
1944    37     1.848     0.911     0.621     0.215     0.066     0.034
1944    38     1.857     0.913     0.624     0.217     0.068     0.035
1944    39     1.862     0.913     0.625     0.219     0.069     0.036
1944    40     1.867     0.914     0.626     0.220     0.069     0.037
1944    41     1.869     0.914     0.627     0.221     0.070     0.038
1944    42     1.871     0.914     0.627     0.221     0.070     0.038
1944    43     1.872     0.914     0.627     0.222     0.071     0.039
1944    44     1.873     0.914     0.627     0.222     0.071     0.039
1944    45     1.873     0.914     0.627     0.222     0.071     0.039
1944    46     1.873     0.914     0.627     0.222     0.071     0.039
1944    47         .         .         .         .         .         .
1944    48         .         .         .         .         .         .
1944    49         .         .         .         .         .         .
1944    50         .         .         .         .         .         .
1944    51         .         .         .         .         .         .
1944    52         .         .         .         .         .         .
1944    53         .         .         .         .         .         .
1944    54         .         .         .         .         .         .
1944    55         .         .         .         .         .         .
1945    12     0.000     0.000     0.000     0.000     0.000     0.000
1945    13     0.000     0.000     0.000     0.000     0.000     0.000
1945    14     0.000     0.000     0.000     0.000     0.000     0.000
1945    15     0.000     0.000     0.000     0.000     0.000     0.000
1945    16     0.003     0.003     0.000     0.000     0.000     0.000
1945    17     0.015     0.014     0.000     0.000     0.000     0.000
1945    18     0.057     0.055     0.003     0.000     0.000     0.000
1945    19     0.155     0.141     0.013     0.001     0.000     0.000
1945    20     0.312     0.267     0.041     0.004     0.000     0.000
1945    21     0.500     0.398     0.088     0.012     0.002     0.000
1945    22     0.695     0.514     0.149     0.027     0.004     0.000
1945    23     0.885     0.610     0.217     0.048     0.009     0.001
1945    24     1.059     0.686     0.282     0.073     0.016     0.003
1945    25     1.214     0.746     0.343     0.097     0.023     0.005
1945    26     1.349     0.793     0.398     0.120     0.030     0.008
1945    27     1.456     0.827     0.443     0.138     0.037     0.011
1945    28     1.533     0.850     0.478     0.150     0.041     0.013
1945    29     1.593     0.867     0.508     0.158     0.044     0.016
1945    30     1.644     0.880     0.534     0.165     0.047     0.018
1945    31     1.687     0.890     0.556     0.172     0.049     0.020
1945    32     1.725     0.897     0.575     0.179     0.052     0.022
1945    33     1.759     0.902     0.591     0.186     0.055     0.025
1945    34     1.787     0.906     0.603     0.193     0.058     0.027
1945    35     1.807     0.909     0.612     0.198     0.060     0.029
1945    36     1.823     0.911     0.617     0.202     0.062     0.031
1945    37     1.835     0.912     0.621     0.205     0.064     0.032
1945    38     1.844     0.913     0.623     0.208     0.065     0.034
1945    39     1.850     0.914     0.625     0.209     0.066     0.035
1945    40     1.854     0.914     0.626     0.211     0.067     0.037
1945    41     1.857     0.915     0.626     0.211     0.068     0.037
1945    42     1.859     0.915     0.627     0.212     0.068     0.038
1945    43     1.860     0.915     0.627     0.212     0.068     0.038
1945    44     1.861     0.915     0.627     0.212     0.068     0.039
1945    45     1.861     0.915     0.627     0.212     0.068     0.039
1945    46         .         .         .         .         .         .
1945    47         .         .         .         .         .         .
1945    48         .         .         .         .         .         .
1945    49         .         .         .         .         .         .
1945    50         .         .         .         .         .         .
1945    51         .         .         .         .         .         .
1945    52         .         .         .         .         .         .
1945    53         .         .         .         .         .         .
1945    54         .         .         .         .         .         .
1945    55         .         .         .         .         .         .
1946    12     0.000     0.000     0.000     0.000     0.000     0.000
1946    13     0.000     0.000     0.000     0.000     0.000     0.000
1946    14     0.000     0.000     0.000     0.000     0.000     0.000
1946    15     0.000     0.000     0.000     0.000     0.000     0.000
1946    16     0.004     0.003     0.000     0.000     0.000     0.000
1946    17     0.018     0.018     0.000     0.000     0.000     0.000
1946    18     0.065     0.062     0.003     0.000     0.000     0.000
1946    19     0.169     0.154     0.015     0.001     0.000     0.000
1946    20     0.332     0.283     0.044     0.004     0.000     0.000
1946    21     0.524     0.417     0.093     0.012     0.001     0.000
1946    22     0.726     0.537     0.157     0.027     0.004     0.001
1946    23     0.919     0.634     0.226     0.049     0.008     0.001
1946    24     1.094     0.711     0.293     0.073     0.014     0.003
1946    25     1.246     0.771     0.354     0.096     0.020     0.005
1946    26     1.367     0.814     0.404     0.116     0.026     0.007
1946    27     1.462     0.846     0.447     0.129     0.030     0.010
1946    28     1.531     0.867     0.481     0.137     0.034     0.012
1946    29     1.590     0.883     0.512     0.145     0.037     0.013
1946    30     1.641     0.895     0.539     0.153     0.040     0.015
1946    31     1.689     0.903     0.564     0.161     0.043     0.017
1946    32     1.731     0.910     0.586     0.169     0.046     0.020
1946    33     1.764     0.914     0.602     0.177     0.049     0.022
1946    34     1.790     0.917     0.613     0.184     0.052     0.025
1946    35     1.810     0.920     0.620     0.189     0.054     0.027
1946    36     1.827     0.922     0.626     0.194     0.056     0.029
1946    37     1.839     0.923     0.629     0.197     0.058     0.031
1946    38     1.848     0.924     0.631     0.200     0.060     0.033
1946    39     1.854     0.924     0.633     0.202     0.061     0.034
1946    40     1.858     0.925     0.634     0.203     0.062     0.035
1946    41     1.861     0.925     0.634     0.204     0.062     0.036
1946    42     1.863     0.925     0.635     0.205     0.062     0.037
1946    43     1.865     0.925     0.635     0.205     0.063     0.037
1946    44     1.866     0.925     0.635     0.205     0.063     0.038
1946    45         .         .         .         .         .         .
1946    46         .         .         .         .         .         .
1946    47         .         .         .         .         .         .
1946    48         .         .         .         .         .         .
1946    49         .         .         .         .         .         .
1946    50         .         .         .         .         .         .
1946    51         .         .         .         .         .         .
1946    52         .         .         .         .         .         .
1946    53         .         .         .         .         .         .
1946    54         .         .         .         .         .         .
1946    55         .         .         .         .         .         .
1947    12     0.000     0.000     0.000     0.000     0.000     0.000
1947    13     0.000     0.000     0.000     0.000     0.000     0.000
1947    14     0.000     0.000     0.000     0.000     0.000     0.000
1947    15     0.000     0.000     0.000     0.000     0.000     0.000
1947    16     0.003     0.003     0.000     0.000     0.000     0.000
1947    17     0.017     0.016     0.000     0.000     0.000     0.000
1947    18     0.064     0.060     0.003     0.000     0.000     0.000
1947    19     0.166     0.150     0.014     0.001     0.000     0.000
1947    20     0.323     0.276     0.043     0.004     0.000     0.000
1947    21     0.516     0.411     0.091     0.012     0.001     0.000
1947    22     0.719     0.534     0.154     0.027     0.003     0.000
1947    23     0.910     0.635     0.222     0.045     0.007     0.001
1947    24     1.080     0.712     0.287     0.066     0.012     0.002
1947    25     1.220     0.771     0.345     0.085     0.017     0.004
1947    26     1.332     0.815     0.393     0.098     0.021     0.005
1947    27     1.416     0.846     0.434     0.107     0.023     0.007
1947    28     1.487     0.867     0.471     0.115     0.026     0.009
1947    29     1.550     0.883     0.505     0.123     0.029     0.010
1947    30     1.606     0.895     0.536     0.132     0.032     0.012
1947    31     1.658     0.904     0.564     0.141     0.035     0.014
1947    32     1.700     0.910     0.586     0.150     0.038     0.016
1947    33     1.735     0.915     0.602     0.159     0.041     0.018
1947    34     1.761     0.918     0.613     0.166     0.044     0.020
1947    35     1.781     0.921     0.621     0.172     0.046     0.022
1947    36     1.797     0.922     0.626     0.176     0.049     0.023
1947    37     1.809     0.924     0.629     0.180     0.051     0.025
1947    38     1.818     0.925     0.631     0.183     0.052     0.027
1947    39     1.824     0.925     0.633     0.185     0.053     0.028
1947    40     1.829     0.926     0.634     0.186     0.054     0.029
1947    41     1.832     0.926     0.634     0.187     0.055     0.030
1947    42     1.834     0.926     0.635     0.188     0.055     0.031
1947    43     1.835     0.926     0.635     0.188     0.055     0.031
1947    44         .         .         .         .         .         .
1947    45         .         .         .         .         .         .
1947    46         .         .         .         .         .         .
1947    47         .         .         .         .         .         .
1947    48         .         .         .         .         .         .
1947    49         .         .         .         .         .         .
1947    50         .         .         .         .         .         .
1947    51         .         .         .         .         .         .
1947    52         .         .         .         .         .         .
1947    53         .         .         .         .         .         .
1947    54         .         .         .         .         .         .
1947    55         .         .         .         .         .         .
