East Germany, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort       Exposure
1961     32     1929       112346.67
1961     33     1928       112918.67
1961     34     1927       107609.83
1961     35     1926       111369.83
1961     36     1925       115036.83
1961     37     1924       107642.17
1961     38     1923       109153.00
1961     39     1922       117929.00
1961     40     1921       129461.00
1961     41     1920       138228.00
1961     42     1919       101863.50
1961     43     1918        64494.67
1961     44     1917        61113.67
1961     45     1916        69563.50
1961     46     1915        99496.33
1961     47     1914       129818.33
1961     48     1913       137735.33
1961     49     1912       143637.50
1961     50     1911       137591.00
1961     51     1910       146858.17
1961     52     1909       152154.67
1961     53     1908       151213.67
1961     54     1907       149739.50
1961     55     1906       150011.67
1962     12     1950        63102.99
1962     13     1949       108833.00
1962     14     1948        93743.98
1962     15     1947        91234.69
1962     16     1946        69196.10
1962     17     1945        79373.83
1962     18     1944       113202.00
1962     19     1943       116846.00
1962     20     1942       114046.00
1962     21     1941       139376.00
1962     22     1940       146541.00
1962     23     1939       144998.67
1962     24     1938       134911.83
1962     25     1937       126096.33
1962     26     1936       129093.33
1962     27     1935       129353.17
1962     28     1934       124068.33
1962     29     1933       100534.83
1962     30     1932       101093.00
1962     31     1931       103421.67
1962     32     1930       114631.17
1962     33     1929       111653.83
1962     34     1928       112276.83
1962     35     1927       106933.50
1962     36     1926       110634.00
1962     37     1925       114258.67
1962     38     1924       106906.17
1962     39     1923       108408.67
1962     40     1922       117108.67
1962     41     1921       128550.17
1962     42     1920       137197.00
1962     43     1919       101058.83
1962     44     1918        63948.00
1962     45     1917        60561.83
1962     46     1916        68905.83
1962     47     1915        98640.83
1962     48     1914       128585.83
1962     49     1913       136387.00
1962     50     1912       142220.00
1962     51     1911       136186.83
1962     52     1910       145348.67
1962     53     1909       150529.67
1962     54     1908       149625.67
1962     55     1907       148061.00
1963     12     1951        65066.58
1963     13     1950       123568.38
1963     14     1949       108799.36
1963     15     1948        93710.15
1963     16     1947        91196.06
1963     17     1946        69168.32
1963     18     1945        79289.50
1963     19     1944       113226.33
1963     20     1943       116898.00
1963     21     1942       113996.33
1963     22     1941       139399.17
1963     23     1940       146566.50
1963     24     1939       144963.83
1963     25     1938       134906.33
1963     26     1937       126071.00
1963     27     1936       129058.67
1963     28     1935       129328.33
1963     29     1934       123988.33
1963     30     1933       100500.83
1963     31     1932       101055.33
1963     32     1931       103354.83
1963     33     1930       114526.67
1963     34     1929       111573.17
1963     35     1928       112160.33
1963     36     1927       106797.17
1963     37     1926       110494.67
1963     38     1925       114097.67
1963     39     1924       106712.67
1963     40     1923       108221.50
1963     41     1922       116845.00
1963     42     1921       128296.83
1963     43     1920       136868.00
1963     44     1919       100782.50
1963     45     1918        63769.17
1963     46     1917        60374.17
1963     47     1916        68660.33
1963     48     1915        98305.67
1963     49     1914       128069.33
1963     50     1913       135756.83
1963     51     1912       141512.83
1963     52     1911       135458.00
1963     53     1910       144491.17
1963     54     1909       149641.83
1963     55     1908       148596.00
1964     12     1952        65459.33
1964     13     1951       127857.90
1964     14     1950       122741.37
1964     15     1949       107828.14
1964     16     1948        92184.36
1964     17     1947        90042.56
1964     18     1946        68028.48
1964     19     1945        77513.67
1964     20     1944       111774.17
1964     21     1943       115280.67
1964     22     1942       112171.33
1964     23     1941       138621.00
1964     24     1940       145045.67
1964     25     1939       143473.33
1964     26     1938       133006.67
1964     27     1937       124823.33
1964     28     1936       126766.83
1964     29     1935       126991.67
1964     30     1934       121393.33
1964     31     1933        98271.17
1964     32     1932        99011.17
1964     33     1931       102145.67
1964     34     1930       112429.50
1964     35     1929       110363.67
1964     36     1928       111050.33
1964     37     1927       105337.67
1964     38     1926       109192.67
1964     39     1925       111723.67
1964     40     1924       105464.17
1964     41     1923       106775.83
1964     42     1922       115512.83
1964     43     1921       127405.50
1964     44     1920       134757.83
1964     45     1919        98631.83
1964     46     1918        61856.67
1964     47     1917        59132.33
1964     48     1916        67394.50
1964     49     1915        96885.33
1964     50     1914       127057.83
1964     51     1913       134661.50
1964     52     1912       140055.00
1964     53     1911       134113.00
1964     54     1910       142390.83
1964     55     1909       147413.83
1965     12     1953        65647.06
1965     13     1952       127766.29
1965     14     1951       126294.36
1965     15     1950       121954.00
1965     16     1949       106748.30
1965     17     1948        90509.88
1965     18     1947        88978.14
1965     19     1946        66710.52
1965     20     1945        75706.33
1965     21     1944       110325.33
1965     22     1943       113721.33
1965     23     1942       110432.83
1965     24     1941       137876.83
1965     25     1940       143597.17
1965     26     1939       142027.17
1965     27     1938       131092.83
1965     28     1937       123602.33
1965     29     1936       124489.83
1965     30     1935       124636.33
1965     31     1934       118837.00
1965     32     1933        96029.83
1965     33     1932        96974.33
1965     34     1931       100933.33
1965     35     1930       110359.33
1965     36     1929       109149.33
1965     37     1928       109964.83
1965     38     1927       103899.33
1965     39     1926       107870.17
1965     40     1925       109332.00
1965     41     1924       104211.67
1965     42     1923       105320.17
1965     43     1922       114197.00
1965     44     1921       126494.83
1965     45     1920       132599.83
1965     46     1919        96485.50
1965     47     1918        59944.83
1965     48     1917        57901.17
1965     49     1916        66129.83
1965     50     1915        95420.83
1965     51     1914       126016.67
1965     52     1913       133536.50
1965     53     1912       138524.83
1965     54     1911       132664.33
1965     55     1910       140280.00
1966     12     1954        65210.46
1966     13     1953       128262.33
1966     14     1952       127743.63
1966     15     1951       126276.54
1966     16     1950       121938.17
1966     17     1949       106673.49
1966     18     1948        90413.38
1966     19     1947        88997.48
1966     20     1946        66764.33
1966     21     1945        75695.67
1966     22     1944       110336.00
1966     23     1943       113755.50
1966     24     1942       110446.67
1966     25     1941       137865.00
1966     26     1940       143596.67
1966     27     1939       142000.50
1966     28     1938       131075.83
1966     29     1937       123604.17
1966     30     1936       124460.83
1966     31     1935       124597.67
1966     32     1934       118794.83
1966     33     1933        95998.83
1966     34     1932        96931.00
1966     35     1931       100869.83
1966     36     1930       110267.83
1966     37     1929       109041.50
1966     38     1928       109818.00
1966     39     1927       103785.33
1966     40     1926       107716.17
1966     41     1925       109161.33
1966     42     1924       104018.83
1966     43     1923       105087.00
1966     44     1922       113928.67
1966     45     1921       126155.17
1966     46     1920       132165.67
1966     47     1919        96155.33
1966     48     1918        59714.17
1966     49     1917        57672.33
1966     50     1916        65817.17
1966     51     1915        94968.67
1966     52     1914       125367.50
1966     53     1913       132816.33
1966     54     1912       137624.00
1966     55     1911       131760.33
1967     12     1955        65969.56
1967     13     1954       128290.59
1967     14     1953       128266.79
1967     15     1952       127744.90
1967     16     1951       126273.95
1967     17     1950       121926.06
1967     18     1949       106716.54
1967     19     1948        90460.73
1967     20     1947        89003.19
1967     21     1946        66797.71
1967     22     1945        75680.83
1967     23     1944       110292.50
1967     24     1943       113689.17
1967     25     1942       110392.83
1967     26     1941       137806.67
1967     27     1940       143532.00
1967     28     1939       141938.33
1967     29     1938       131037.17
1967     30     1937       123567.00
1967     31     1936       124408.67
1967     32     1935       124560.17
1967     33     1934       118745.33
1967     34     1933        95970.67
1967     35     1932        96858.50
1967     36     1931       100798.00
1967     37     1930       110162.83
1967     38     1929       108919.17
1967     39     1928       109669.33
1967     40     1927       103638.00
1967     41     1926       107542.50
1967     42     1925       108954.67
1967     43     1924       103807.33
1967     44     1923       104836.83
1967     45     1922       113628.83
1967     46     1921       125782.33
1967     47     1920       131705.33
1967     48     1919        95790.17
1967     49     1918        59478.50
1967     50     1917        57421.67
1967     51     1916        65497.00
1967     52     1915        94435.00
1967     53     1914       124673.00
1967     54     1913       132064.50
1967     55     1912       136706.50
1968     12     1956        64724.44
1968     13     1955       128371.54
1968     14     1954       128297.02
1968     15     1953       128254.42
1968     16     1952       127729.73
1968     17     1951       126246.90
1968     18     1950       122013.77
1968     19     1949       106854.48
1968     20     1948        90562.86
1968     21     1947        89038.90
1968     22     1946        66815.47
1968     23     1945        75674.67
1968     24     1944       110241.67
1968     25     1943       113633.67
1968     26     1942       110340.83
1968     27     1941       137746.83
1968     28     1940       143465.33
1968     29     1939       141875.33
1968     30     1938       130980.33
1968     31     1937       123512.17
1968     32     1936       124344.67
1968     33     1935       124497.00
1968     34     1934       118681.50
1968     35     1933        95932.00
1968     36     1932        96773.50
1968     37     1931       100713.83
1968     38     1930       110047.33
1968     39     1929       108784.50
1968     40     1928       109527.83
1968     41     1927       103475.17
1968     42     1926       107349.67
1968     43     1925       108710.17
1968     44     1924       103549.67
1968     45     1923       104559.00
1968     46     1922       113282.33
1968     47     1921       125397.83
1968     48     1920       131230.67
1968     49     1919        95390.17
1968     50     1918        59225.33
1968     51     1917        57149.67
1968     52     1916        65162.50
1968     53     1915        93888.83
1968     54     1914       123934.83
1968     55     1913       131228.33
1969     12     1957        63081.36
1969     13     1956       126365.05
1969     14     1955       128359.12
1969     15     1954       128282.75
1969     16     1953       128228.99
1969     17     1952       127701.07
1969     18     1951       126282.80
1969     19     1950       122167.00
1969     20     1949       106973.75
1969     21     1948        90634.81
1969     22     1947        89079.37
1969     23     1946        66840.69
1969     24     1945        75670.67
1969     25     1944       110187.00
1969     26     1943       113582.33
1969     27     1942       110298.50
1969     28     1941       137681.50
1969     29     1940       143374.50
1969     30     1939       141813.50
1969     31     1938       130911.50
1969     32     1937       123456.33
1969     33     1936       124267.83
1969     34     1935       124410.00
1969     35     1934       118586.00
1969     36     1933        95858.83
1969     37     1932        96692.83
1969     38     1931       100614.50
1969     39     1930       109901.00
1969     40     1929       108637.83
1969     41     1928       109347.50
1969     42     1927       103282.50
1969     43     1926       107134.00
1969     44     1925       108472.33
1969     45     1924       103268.33
1969     46     1923       104250.50
1969     47     1922       112912.33
1969     48     1921       124950.67
1969     49     1920       130706.17
1969     50     1919        94960.00
1969     51     1918        58922.83
1969     52     1917        56857.00
1969     53     1916        64790.83
1969     54     1915        93319.17
1969     55     1914       123091.17
1970     12     1958        63255.84
1970     13     1957       124331.32
1970     14     1956       126640.01
1970     15     1955       128704.19
1970     16     1954       128640.60
1970     17     1953       128479.81
1970     18     1952       127864.30
1970     19     1951       126487.84
1970     20     1950       122359.58
1970     21     1949       106822.39
1970     22     1948        90577.29
1970     23     1947        88932.20
1970     24     1946        66879.85
1970     25     1945        75834.17
1970     26     1944       110297.17
1970     27     1943       113715.33
1970     28     1942       110289.67
1970     29     1941       137846.17
1970     30     1940       143407.17
1970     31     1939       141918.00
1970     32     1938       130898.33
1970     33     1937       123501.33
1970     34     1936       124227.33
1970     35     1935       124386.50
1970     36     1934       118403.17
1970     37     1933        95752.33
1970     38     1932        96535.83
1970     39     1931       100577.50
1970     40     1930       109829.50
1970     41     1929       108447.83
1970     42     1928       109143.50
1970     43     1927       103123.83
1970     44     1926       106804.83
1970     45     1925       108238.17
1970     46     1924       102947.33
1970     47     1923       103852.67
1970     48     1922       112455.33
1970     49     1921       124390.00
1970     50     1920       130181.50
1970     51     1919        94564.33
1970     52     1918        58545.83
1970     53     1917        56571.67
1970     54     1916        64352.50
1970     55     1915        92621.67
1971     12     1959        68317.30
1971     13     1958       125000.48
1971     14     1957       124493.35
1971     15     1956       126888.73
1971     16     1955       129018.85
1971     17     1954       128990.83
1971     18     1953       128821.41
1971     19     1952       128102.08
1971     20     1951       126657.61
1971     21     1950       122392.21
1971     22     1949       106554.47
1971     23     1948        90452.04
1971     24     1947        88735.57
1971     25     1946        66889.32
1971     26     1945        75960.17
1971     27     1944       110402.33
1971     28     1943       113833.50
1971     29     1942       110268.67
1971     30     1941       137979.83
1971     31     1940       143436.33
1971     32     1939       141984.50
1971     33     1938       130860.17
1971     34     1937       123513.17
1971     35     1936       124160.50
1971     36     1935       124350.33
1971     37     1934       118209.50
1971     38     1933        95625.17
1971     39     1932        96362.67
1971     40     1931       100526.50
1971     41     1930       109745.83
1971     42     1929       108235.83
1971     43     1928       108921.17
1971     44     1927       102949.17
1971     45     1926       106483.67
1971     46     1925       107976.33
1971     47     1924       102595.17
1971     48     1923       103437.17
1971     49     1922       111987.17
1971     50     1921       123784.17
1971     51     1920       129628.33
1971     52     1919        94115.17
1971     53     1918        58152.17
1971     54     1917        56262.00
1971     55     1916        63882.17
1972     12     1960        69522.33
1972     13     1959       134429.31
1972     14     1958       124990.40
1972     15     1957       124461.64
1972     16     1956       126847.78
1972     17     1955       128967.74
1972     18     1954       129148.75
1972     19     1953       129135.97
1972     20     1952       128269.49
1972     21     1951       126713.70
1972     22     1950       122315.62
1972     23     1949       106448.66
1972     24     1948        90373.41
1972     25     1947        88665.74
1972     26     1946        66840.72
1972     27     1945        75883.00
1972     28     1944       110297.50
1972     29     1943       113711.33
1972     30     1942       110160.67
1972     31     1941       137845.00
1972     32     1940       143334.67
1972     33     1939       141847.50
1972     34     1938       130730.17
1972     35     1937       123398.67
1972     36     1936       124028.00
1972     37     1935       124192.17
1972     38     1934       118055.50
1972     39     1933        95495.00
1972     40     1932        96227.67
1972     41     1931       100380.00
1972     42     1930       109536.83
1972     43     1929       107979.50
1972     44     1928       108679.83
1972     45     1927       102683.50
1972     46     1926       106226.83
1972     47     1925       107620.67
1972     48     1924       102239.17
1972     49     1923       103011.00
1972     50     1922       111533.67
1972     51     1921       123219.00
1972     52     1920       128974.00
1972     53     1919        93619.67
1972     54     1918        57771.17
1972     55     1917        55882.33
1973     12     1961        71612.68
1973     13     1960       137123.78
1973     14     1959       134400.21
1973     15     1958       124959.73
1973     16     1957       124406.47
1973     17     1956       126784.68
1973     18     1955       129002.15
1973     19     1954       129361.83
1973     20     1953       129353.83
1973     21     1952       128315.73
1973     22     1951       126671.57
1973     23     1950       122239.81
1973     24     1949       106379.59
1973     25     1948        90310.77
1973     26     1947        88586.32
1973     27     1946        66784.82
1973     28     1945        75797.17
1973     29     1944       110146.00
1973     30     1943       113572.17
1973     31     1942       110027.83
1973     32     1941       137697.67
1973     33     1940       143211.83
1973     34     1939       141689.50
1973     35     1938       130600.50
1973     36     1937       123268.17
1973     37     1936       123868.17
1973     38     1935       124023.67
1973     39     1934       117878.50
1973     40     1933        95363.17
1973     41     1932        96084.00
1973     42     1931       100199.83
1973     43     1930       109311.17
1973     44     1929       107699.83
1973     45     1928       108414.67
1973     46     1927       102389.67
1973     47     1926       105910.33
1973     48     1925       107235.17
1973     49     1924       101854.33
1973     50     1923       102561.50
1973     51     1922       111029.50
1973     52     1921       122615.00
1973     53     1920       128273.83
1973     54     1919        93061.17
1973     55     1918        57367.83
1974     12     1962        71237.05
1974     13     1961       141398.69
1974     14     1960       137079.61
1974     15     1959       134349.46
1974     16     1958       124910.67
1974     17     1957       124346.06
1974     18     1956       126812.95
1974     19     1955       129142.74
1974     20     1954       129405.41
1974     21     1953       129265.61
1974     22     1952       128158.46
1974     23     1951       126511.54
1974     24     1950       122089.49
1974     25     1949       106270.08
1974     26     1948        90223.86
1974     27     1947        88476.25
1974     28     1946        66713.41
