West Germany, Total live births by birth order
Last modified: 04/02/2019
Year         Total            B1            B2            B3            B4           B5p
2009     533380.00     262972.99     180658.00      61827.99      18085.00       9836.01
2010     542345.00     266080.00     184331.01      63669.00      18307.98       9957.01
2011     530360.00     261502.99     181135.00      60750.00      17526.01       9446.01
2012     538753.02     264180.01     185861.01      61541.00      17955.00       9216.01
2013     547092.99     269118.00     188631.00      62189.00      17902.99       9252.01
2014     574503.99     283192.98     196480.00      65849.01      19072.00       9910.01
2015     595320.02     290813.99     205036.01      68720.99      20223.99      10524.99
2016     642162.02     308172.00     221650.06      76360.02      23314.94      12664.99
2017     638504.03     300900.02     223012.98      77672.98      23871.03      13047.05
