West Germany, Crude birth rate by birth order
Last modified: 04/02/2019
Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
2009     8.27     4.08     2.80     0.96     0.28     0.15
2010     8.42     4.13     2.86     0.99     0.28     0.15
2011     8.24     4.06     2.81     0.94     0.27     0.15
2012     8.35     4.09     2.88     0.95     0.28     0.14
2013     8.45     4.16     2.91     0.96     0.28     0.14
2014     8.83     4.35     3.02     1.01     0.29     0.15
2015     9.07     4.43     3.12     1.05     0.31     0.16
2016     9.70     4.65     3.35     1.15     0.35     0.19
2017     9.60     4.53     3.35     1.17     0.36     0.20
