West Germany, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 04/02/2019
Year    ARDY   Cohort       Exposure
1961     32     1929       379889.50
1961     33     1928       389674.33
1961     34     1927       381903.83
1961     35     1926       401359.00
1961     36     1925       425218.17
1961     37     1924       417352.17
1961     38     1923       420866.83
1961     39     1922       444348.50
1961     40     1921       471009.00
1961     41     1920       478659.17
1961     42     1919       367352.50
1961     43     1918       249074.67
1961     44     1917       238581.50
1961     45     1916       266009.67
1961     46     1915       352159.67
1961     47     1914       451384.67
1961     48     1913       456200.83
1961     49     1912       466875.33
1961     50     1911       445028.33
1961     51     1910       462873.33
1961     52     1909       469731.00
1961     53     1908       465899.67
1961     54     1907       450075.00
1961     55     1906       445246.17
1962     12     1950       196741.18
1962     13     1949       385920.86
1962     14     1948       367902.34
1962     15     1947       348246.24
1962     16     1946       325166.52
1962     17     1945       278354.83
1962     18     1944       378159.50
1962     19     1943       387836.00
1962     20     1942       377330.67
1962     21     1941       464340.00
1962     22     1940       499717.50
1962     23     1939       495774.50
1962     24     1938       467628.50
1962     25     1937       441401.67
1962     26     1936       440125.00
1962     27     1935       431916.33
1962     28     1934       408243.17
1962     29     1933       334940.83
1962     30     1932       341977.00
1962     31     1931       357922.17
1962     32     1930       386153.33
1962     33     1929       383748.00
1962     34     1928       393513.00
1962     35     1927       385947.50
1962     36     1926       405691.00
1962     37     1925       426762.50
1962     38     1924       420349.50
1962     39     1923       423867.67
1962     40     1922       447205.00
1962     41     1921       474887.17
1962     42     1920       479357.00
1962     43     1919       368811.16
1962     44     1918       249277.67
1962     45     1917       239266.67
1962     46     1916       267019.50
1962     47     1915       352357.00
1962     48     1914       451943.17
1962     49     1913       456537.33
1962     50     1912       466218.33
1962     51     1911       445443.50
1962     52     1910       460958.67
1962     53     1909       468572.33
1962     54     1908       464151.83
1962     55     1907       448799.50
1963     12     1951       193132.14
1963     13     1950       384909.16
1963     14     1949       386412.04
1963     15     1948       368652.60
1963     16     1947       349213.03
1963     17     1946       326381.36
1963     18     1945       280326.67
1963     19     1944       380834.17
1963     20     1943       390901.50
1963     21     1942       380457.17
1963     22     1941       466690.83
1963     23     1940       502430.50
1963     24     1939       497984.33
1963     25     1938       469767.33
1963     26     1937       443410.83
1963     27     1936       442144.67
1963     28     1935       433892.17
1963     29     1934       410131.67
1963     30     1933       336668.00
1963     31     1932       343607.33
1963     32     1931       359314.83
1963     33     1930       387394.00
1963     34     1929       384797.50
1963     35     1928       394591.50
1963     36     1927       386782.50
1963     37     1926       406421.83
1963     38     1925       427294.50
1963     39     1924       420654.17
1963     40     1923       424114.33
1963     41     1922       447301.33
1963     42     1921       474733.50
1963     43     1920       479063.83
1963     44     1919       368507.83
1963     45     1918       248995.83
1963     46     1917       238939.83
1963     47     1916       266571.00
1963     48     1915       351628.00
1963     49     1914       450801.50
1963     50     1913       455227.50
1963     51     1912       464798.17
1963     52     1911       443828.33
1963     53     1910       459035.00
1963     54     1909       466500.17
1963     55     1908       461863.50
1964     12     1952       194677.92
1964     13     1951       376862.46
1964     14     1950       385642.09
1964     15     1949       387296.07
1964     16     1948       369982.07
1964     17     1947       350902.68
1964     18     1946       328859.08
1964     19     1945       283545.00
1964     20     1944       384408.00
1964     21     1943       394322.00
1964     22     1942       383351.33
1964     23     1941       468862.00
1964     24     1940       504609.33
1964     25     1939       499833.00
1964     26     1938       471564.67
1964     27     1937       445182.17
1964     28     1936       443771.00
1964     29     1935       435512.17
1964     30     1934       411619.50
1964     31     1933       338159.00
1964     32     1932       345059.00
1964     33     1931       360500.17
1964     34     1930       388491.50
1964     35     1929       385684.33
1964     36     1928       395467.50
1964     37     1927       387463.67
1964     38     1926       407053.67
1964     39     1925       427714.83
1964     40     1924       420950.83
1964     41     1923       424225.67
1964     42     1922       447273.67
1964     43     1921       474443.83
1964     44     1920       478683.17
1964     45     1919       368316.00
1964     46     1918       248668.33
1964     47     1917       238513.50
1964     48     1916       266040.00
1964     49     1915       350795.67
1964     50     1914       449541.33
1964     51     1913       453825.17
1964     52     1912       463227.67
1964     53     1911       442103.33
1964     54     1910       457153.00
1964     55     1909       464350.17
1965     12     1953       194176.54
1965     13     1952       380512.40
1965     14     1951       377830.80
1965     15     1950       386877.67
1965     16     1949       388914.05
1965     17     1948       372183.70
1965     18     1947       354459.40
1965     19     1946       333483.95
1965     20     1945       288082.50
1965     21     1944       388590.67
1965     22     1943       398001.50
1965     23     1942       386501.67
1965     24     1941       471446.17
1965     25     1940       507195.00
1965     26     1939       502033.83
1965     27     1938       473668.83
1965     28     1937       447238.67
1965     29     1936       445636.00
1965     30     1935       437326.83
1965     31     1934       413397.17
1965     32     1933       339886.17
1965     33     1932       346703.17
1965     34     1931       361899.33
1965     35     1930       389896.67
1965     36     1929       386830.00
1965     37     1928       396419.50
1965     38     1927       388301.50
1965     39     1926       407886.83
1965     40     1925       428236.17
1965     41     1924       421358.33
1965     42     1923       424404.00
1965     43     1922       447347.50
1965     44     1921       474153.17
1965     45     1920       478277.83
1965     46     1919       367973.00
1965     47     1918       248296.33
1965     48     1917       238068.17
1965     49     1916       265470.67
1965     50     1915       349801.00
1965     51     1914       448126.17
1965     52     1913       452220.17
1965     53     1912       461517.17
1965     54     1911       440209.17
1965     55     1910       455005.33
1966     12     1954       199500.39
1966     13     1953       378398.15
1966     14     1952       381576.62
1966     15     1951       379229.74
1966     16     1950       388619.80
1966     17     1949       391175.88
1966     18     1948       375815.87
1966     19     1947       359574.73
1966     20     1946       338857.12
1966     21     1945       292593.00
1966     22     1944       392418.00
1966     23     1943       401221.50
1966     24     1942       389485.00
1966     25     1941       473819.17
1966     26     1940       509440.83
1966     27     1939       503920.83
1966     28     1938       475486.00
1966     29     1937       448869.50
1966     30     1936       447199.00
1966     31     1935       438810.50
1966     32     1934       414719.67
1966     33     1933       341291.00
1966     34     1932       348067.83
1966     35     1931       363077.00
1966     36     1930       391080.00
1966     37     1929       387869.33
1966     38     1928       397187.00
1966     39     1927       388975.33
1966     40     1926       408504.33
1966     41     1925       428603.17
1966     42     1924       421568.33
1966     43     1923       424467.50
1966     44     1922       447270.83
1966     45     1921       473703.17
1966     46     1920       477689.33
1966     47     1919       367326.50
1966     48     1918       247832.50
1966     49     1917       237548.50
1966     50     1916       264773.17
1966     51     1915       348689.50
1966     52     1914       446616.83
1966     53     1913       450488.17
1966     54     1912       459479.33
1966     55     1911       438137.00
1967     12     1955       198534.28
1967     13     1954       389161.83
1967     14     1953       379111.23
1967     15     1952       382407.47
1967     16     1951       380189.88
1967     17     1950       389792.06
1967     18     1949       392768.35
1967     19     1948       378496.51
1967     20     1947       362063.95
1967     21     1946       340922.93
1967     22     1945       293598.83
1967     23     1944       392895.00
1967     24     1943       401199.50
1967     25     1942       389171.83
1967     26     1941       473249.17
1967     27     1940       508272.83
1967     28     1939       502928.00
1967     29     1938       474541.17
1967     30     1937       447792.17
1967     31     1936       446313.17
1967     32     1935       437917.33
1967     33     1934       413891.00
1967     34     1933       340747.67
1967     35     1932       347607.17
1967     36     1931       362612.33
1967     37     1930       390633.00
1967     38     1929       387457.67
1967     39     1928       396686.00
1967     40     1927       388493.00
1967     41     1926       407949.50
1967     42     1925       427963.33
1967     43     1924       420808.67
1967     44     1923       423699.33
1967     45     1922       446365.50
1967     46     1921       472580.17
1967     47     1920       476482.83
1967     48     1919       366246.00
1967     49     1918       246963.83
1967     50     1917       236712.50
1967     51     1916       263759.17
1967     52     1915       347286.17
1967     53     1914       444779.17
1967     54     1913       448443.50
1967     55     1912       457087.83
1968     12     1956       207562.73
1968     13     1955       390100.66
1968     14     1954       389965.49
1968     15     1953       380224.57
1968     16     1952       383760.19
1968     17     1951       381797.87
1968     18     1950       393219.74
1968     19     1949       396705.75
1968     20     1948       382109.53
1968     21     1947       364556.43
1968     22     1946       342295.24
1968     23     1945       294477.67
1968     24     1944       393035.33
1968     25     1943       401041.33
1968     26     1942       388643.67
1968     27     1941       472594.67
1968     28     1940       507219.83
1968     29     1939       502087.33
1968     30     1938       473770.67
1968     31     1937       446946.33
1968     32     1936       445638.67
1968     33     1935       437154.33
1968     34     1934       413479.67
1968     35     1933       340395.50
1968     36     1932       347243.50
1968     37     1931       362212.67
1968     38     1930       390276.00
1968     39     1929       386976.17
1968     40     1928       396183.33
1968     41     1927       387918.83
1968     42     1926       407304.67
1968     43     1925       427144.17
1968     44     1924       419974.83
1968     45     1923       422802.67
1968     46     1922       445295.83
1968     47     1921       471275.67
1968     48     1920       475071.33
1968     49     1919       365046.33
1968     50     1918       245991.83
1968     51     1917       235743.17
1968     52     1916       262536.83
1968     53     1915       345631.67
1968     54     1914       442692.67
1968     55     1913       446066.50
1969     12     1957       214997.03
1969     13     1956       408708.26
1969     14     1955       391745.05
1969     15     1954       391988.50
1969     16     1953       382734.19
1969     17     1952       387137.94
1969     18     1951       387774.25
1969     19     1950       402295.07
1969     20     1949       405818.60
1969     21     1948       390264.22
1969     22     1947       371779.65
1969     23     1946       348166.23
1969     24     1945       299528.17
1969     25     1944       397254.00
1969     26     1943       404737.33
1969     27     1942       392016.00
1969     28     1941       475366.17
1969     29     1940       510313.33
1969     30     1939       504720.17
1969     31     1938       476402.33
1969     32     1937       449333.50
1969     33     1936       447953.67
1969     34     1935       439263.00
1969     35     1934       415621.50
1969     36     1933       342350.17
1969     37     1932       348930.83
1969     38     1931       363565.67
1969     39     1930       391668.17
1969     40     1929       387854.17
1969     41     1928       396884.33
1969     42     1927       388247.83
1969     43     1926       407612.00
1969     44     1925       427027.83
1969     45     1924       419773.83
1969     46     1923       422368.67
1969     47     1922       444680.17
1969     48     1921       470244.83
1969     49     1920       473871.83
1969     50     1919       363949.50
1969     51     1918       245164.83
1969     52     1917       234802.33
1969     53     1916       261377.67
1969     54     1915       343983.17
1969     55     1914       440541.50
